Shape,Clarity,Color,Shape-Color-Clarity,Begin Size,End Size,List,Date
PS,VS1,E,PS-E-VS1-0.3,0.3,0.39,1800,7/5/2024
PS,VS2,E,PS-E-VS2-0.3,0.3,0.39,1700,7/5/2024
PS,SI1,E,PS-E-SI1-0.3,0.3,0.39,1600,7/5/2024
PS,SI2,E,PS-E-SI2-0.3,0.3,0.39,1400,7/5/2024
PS,SI3,E,PS-E-SI3-0.3,0.3,0.39,1200,7/5/2024
PS,I1,E,PS-E-I1-0.3,0.3,0.39,900,7/5/2024
PS,I2,E,PS-E-I2-0.3,0.3,0.39,800,7/5/2024
PS,I3,E,PS-E-I3-0.3,0.3,0.39,500,7/5/2024
PS,IF,F,PS-F-IF-0.3,0.3,0.39,2100,7/5/2024
PS,VVS1,F,PS-F-VVS1-0.3,0.3,0.39,1900,7/5/2024
PS,VVS2,F,PS-F-VVS2-0.3,0.3,0.39,1800,7/5/2024
PS,VS1,F,PS-F-VS1-0.3,0.3,0.39,1700,7/5/2024
PS,VS2,F,PS-F-VS2-0.3,0.3,0.39,1600,7/5/2024
PS,SI1,F,PS-F-SI1-0.3,0.3,0.39,1500,7/5/2024
PS,SI2,F,PS-F-SI2-0.3,0.3,0.39,1300,7/5/2024
PS,SI3,F,PS-F-SI3-0.3,0.3,0.39,1100,7/5/2024
PS,I1,F,PS-F-I1-0.3,0.3,0.39,800,7/5/2024
PS,I2,F,PS-F-I2-0.3,0.3,0.39,700,7/5/2024
PS,I3,F,PS-F-I3-0.3,0.3,0.39,500,7/5/2024
PS,IF,G,PS-G-IF-0.3,0.3,0.39,1900,7/5/2024
PS,VVS1,G,PS-G-VVS1-0.3,0.3,0.39,1800,7/5/2024
PS,VVS2,G,PS-G-VVS2-0.3,0.3,0.39,1700,7/5/2024
PS,VS1,G,PS-G-VS1-0.3,0.3,0.39,1600,7/5/2024
PS,VS2,G,PS-G-VS2-0.3,0.3,0.39,1500,7/5/2024
PS,SI1,G,PS-G-SI1-0.3,0.3,0.39,1400,7/5/2024
PS,SI2,G,PS-G-SI2-0.3,0.3,0.39,1200,7/5/2024
PS,SI3,G,PS-G-SI3-0.3,0.3,0.39,1000,7/5/2024
PS,I1,G,PS-G-I1-0.3,0.3,0.39,800,7/5/2024
PS,I2,G,PS-G-I2-0.3,0.3,0.39,700,7/5/2024
PS,I3,G,PS-G-I3-0.3,0.3,0.39,400,7/5/2024
PS,IF,H,PS-H-IF-0.3,0.3,0.39,1800,7/5/2024
PS,VVS1,H,PS-H-VVS1-0.3,0.3,0.39,1700,7/5/2024
PS,VVS2,H,PS-H-VVS2-0.3,0.3,0.39,1600,7/5/2024
PS,VS1,H,PS-H-VS1-0.3,0.3,0.39,1500,7/5/2024
PS,VS2,H,PS-H-VS2-0.3,0.3,0.39,1400,7/5/2024
PS,SI1,H,PS-H-SI1-0.3,0.3,0.39,1300,7/5/2024
PS,SI2,H,PS-H-SI2-0.3,0.3,0.39,1100,7/5/2024
PS,SI3,H,PS-H-SI3-0.3,0.3,0.39,900,7/5/2024
PS,I1,H,PS-H-I1-0.3,0.3,0.39,700,7/5/2024
PS,I2,H,PS-H-I2-0.3,0.3,0.39,600,7/5/2024
PS,I3,H,PS-H-I3-0.3,0.3,0.39,400,7/5/2024
PS,IF,I,PS-I-IF-0.3,0.3,0.39,1600,7/5/2024
PS,VVS1,I,PS-I-VVS1-0.3,0.3,0.39,1500,7/5/2024
PS,VVS2,I,PS-I-VVS2-0.3,0.3,0.39,1400,7/5/2024
PS,VS1,I,PS-I-VS1-0.3,0.3,0.39,1300,7/5/2024
PS,VS2,I,PS-I-VS2-0.3,0.3,0.39,1200,7/5/2024
PS,SI1,I,PS-I-SI1-0.3,0.3,0.39,1100,7/5/2024
PS,SI2,I,PS-I-SI2-0.3,0.3,0.39,1000,7/5/2024
PS,SI3,I,PS-I-SI3-0.3,0.3,0.39,800,7/5/2024
PS,I1,I,PS-I-I1-0.3,0.3,0.39,700,7/5/2024
PS,I2,I,PS-I-I2-0.3,0.3,0.39,600,7/5/2024
PS,I3,I,PS-I-I3-0.3,0.3,0.39,400,7/5/2024
PS,IF,J,PS-J-IF-0.3,0.3,0.39,1400,7/5/2024
PS,VVS1,J,PS-J-VVS1-0.3,0.3,0.39,1300,7/5/2024
PS,VVS2,J,PS-J-VVS2-0.3,0.3,0.39,1200,7/5/2024
PS,VS1,J,PS-J-VS1-0.3,0.3,0.39,1100,7/5/2024
PS,VS2,J,PS-J-VS2-0.3,0.3,0.39,1000,7/5/2024
PS,SI1,J,PS-J-SI1-0.3,0.3,0.39,900,7/5/2024
